"id","page_id","created_at","table_count","changed_tables"
2148821,38414,2003-12-08T16:53:58Z,5,2
2359434,319293,2004-02-11T00:59:04Z,1,1
2880168,521157,2004-03-22T03:25:08Z,1,1
2970351,560847,2004-03-28T22:14:44Z,1,1
2975763,13270,2004-03-30T00:46:07Z,0,4
3179674,457822,2004-04-14T01:22:25Z,1,1
3200065,3155,2004-04-15T00:24:17Z,3,4
3412132,629219,2004-05-01T19:00:13Z,5,5
3511384,5243711,2004-05-09T15:29:46Z,2,2
3616093,23900788,2004-05-09T06:43:44Z,1,1
3739709,400181,2004-05-26T17:49:20Z,2,2
3775721,78255,2004-05-30T04:44:53Z,1,1
4246534,80224,2004-06-20T19:40:12Z,1,1
4933285,494596,2004-07-28T03:17:35Z,0,1
5086348,403069,2004-06-26T18:38:04Z,1,1
5156496,894313,2004-08-12T05:17:38Z,1,1
5166514,895794,2004-08-12T18:03:27Z,1,1
5179508,34956,2004-07-09T00:31:59Z,1,1
5402736,30873935,2004-08-24T00:53:35Z,2,2
5580954,948716,2004-09-01T05:06:13Z,72,72
5627401,954381,2004-09-03T12:02:08Z,1,1
5821046,7004698,2004-09-12T03:54:00Z,1,1
5955638,535114,2004-08-25T14:51:41Z,1,1
6159866,930832,2004-08-26T01:30:11Z,1,1
6392073,23318,2004-10-04T05:55:45Z,1,2
6407154,2176,2004-09-28T22:15:07Z,0,1
6693680,30388,2004-10-19T05:18:48Z,1,1
6920642,5122699,2004-10-12T14:36:54Z,7,2
6933880,968731,2004-09-08T14:04:44Z,1,1
7078112,1066808,2004-11-03T16:41:22Z,1,2
7487232,152612,2004-11-15T14:38:54Z,2,2
7750035,19985174,2004-11-22T12:05:34Z,10,2
7835052,5751,2004-11-25T03:34:59Z,1,2
7896296,1214548,2004-11-27T11:25:54Z,4,4
8611690,485118,2004-12-19T07:00:49Z,1,2
8789512,1239586,2004-12-24T19:35:44Z,1,1
8892631,626692,2004-12-28T17:31:24Z,1,2
8936518,1328236,2004-12-30T01:05:35Z,4,2
9350621,31523,2005-01-14T03:48:35Z,18,18
9507312,269055,2005-01-20T05:37:15Z,2,2
9716433,1424008,2005-01-23T18:46:58Z,2,2
9899190,35984,2005-02-03T00:30:24Z,1,2
10051520,18490,2005-02-08T01:51:24Z,1,1
10256964,1209609,2005-02-14T04:39:19Z,1,1
10572525,944316,2004-11-16T16:38:56Z,3,4
10684846,234683,2005-02-20T00:06:29Z,1,2
10864849,50116,2005-03-06T16:03:04Z,3,3
11076091,73087,2005-02-15T04:43:00Z,1,1
11090774,1601114,2005-03-13T11:09:58Z,1,1
11178233,1218794,2005-03-15T22:17:37Z,1,2
11971341,1157288,2004-11-11T10:44:41Z,1,1
12045143,1710306,2005-04-08T18:00:09Z,1,1
12093051,158585,2005-04-09T21:24:01Z,76,76
12189590,4689264,2005-04-11T09:16:54Z,2,2
12297029,1730774,2005-04-14T13:06:20Z,28,3
12676269,1263625,2005-04-13T19:13:41Z,4,2
13079389,427748,2004-11-22T02:18:00Z,1,2
13100320,1826876,2005-05-01T20:31:34Z,2,2
13118623,1480272,2005-05-01T02:34:41Z,1,2
13157770,170691,2005-05-03T01:16:52Z,3,2
13192983,1836367,2005-05-03T22:02:11Z,1,1
13564427,1869630,2005-05-11T02:40:43Z,2,2
13738527,1791813,2005-05-15T13:33:33Z,34,34
13809566,171166,2005-05-16T23:50:27Z,5,2
14461648,618804,2005-05-29T20:52:22Z,0,1
14728566,26805,2005-06-05T05:56:29Z,0,2
14840978,35518,2005-06-07T07:34:18Z,0,1
14964642,189568,2005-06-09T21:20:34Z,3,2
15122552,1810875,2005-06-02T14:39:09Z,1,1
15126897,1810562,2005-06-04T19:47:05Z,1,1
15246719,5042916,2005-06-15T19:26:16Z,0,4
15341175,5757384,2005-06-17T12:38:44Z,48,2
15364800,18000,2005-05-21T03:27:52Z,12,12
15540587,4745,2005-06-20T16:44:04Z,1,2
15711896,287841,2005-06-06T00:30:58Z,0,1
16492761,673683,2005-04-17T11:07:39Z,0,1
17568638,1941436,2005-06-18T20:41:21Z,5,2
17981205,3301347,2005-07-01T22:31:19Z,0,1
18126803,8286632,2005-07-04T12:42:26Z,1,1
18274545,1620770,2005-07-06T18:46:43Z,8,2
18335468,91347,2005-07-07T16:24:25Z,1,1
18550851,1342339,2005-07-10T20:28:06Z,0,1
18565066,2209422,2005-07-11T00:34:58Z,3,3
18613907,2213903,2005-07-11T18:09:17Z,3,3
18726439,1095706,2005-07-13T06:03:25Z,2,2
18827944,2233839,2005-07-14T17:53:40Z,1,1
18842494,2235341,2005-07-14T21:23:46Z,1,1
19010156,1752878,2005-07-17T10:47:20Z,44,4
19193053,909423,2005-07-20T00:59:17Z,2,2
19543474,2289761,2005-07-25T01:22:47Z,0,4
19592907,1569972,2005-07-25T19:35:11Z,3,3
20136190,184474,2005-08-02T20:07:08Z,2,2
